"age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
42,"2","2","2",4,4,4,4,3,4,1,3,4,4,3,5,3,4,3,4,5,4,4,5,5,4,5,4,3,1,3
22,"2","1","2",2,2,4,2,1,2,2,2,3,4,3,2,4,3,4,3,4,3,4,4,4,3,2,4,4,2,4
20,"2","1","2",4,3,4,4,2,5,1,3,3,2,3,4,5,4,4,5,5,3,4,4,4,5,3,4,4,3,5
20,"2","1","2",4,4,4,2,1,4,1,1,3,3,3,3,4,4,4,5,4,2,4,4,4,4,4,5,4,4,5
20,"1","4","2",4,3,4,1,1,4,1,1,1,2,2,4,4,2,4,3,4,2,5,5,4,5,5,5,5,2,3
26,"2","4","2",5,5,5,5,2,5,2,5,2,5,5,5,5,5,2,5,5,4,5,5,5,5,5,4,4,2,5
19,"1","1","2",5,4,4,3,1,5,4,4,1,5,2,1,2,4,5,4,5,2,5,4,5,4,4,5,3,3,5
22,"2","1","2",5,3,4,4,4,4,2,4,4,3,3,4,5,3,3,4,5,3,5,4,4,4,5,4,5,3,4
21,"1","1","2",4,2,4,2,1,4,3,2,3,5,4,5,4,4,4,4,4,3,4,3,3,4,4,4,4,2,4
53,"2","4","2",4,4,4,2,1,4,3,1,2,3,2,4,4,3,4,4,5,3,4,4,4,4,3,4,4,2,3
20,"1","1","2",3,2,4,4,1,4,3,3,1,2,1,3,2,3,4,4,5,1,4,4,2,4,2,5,2,3,5
21,"2","1","2",4,4,3,3,2,4,2,2,2,4,4,3,4,3,4,4,4,3,5,5,4,4,3,4,4,1,2
52,"1","2","2",4,4,2,3,3,4,3,3,2,4,2,2,4,4,4,4,3,3,4,4,3,4,4,4,3,2,5
21,"1","1","2",4,4,4,1,1,4,3,2,3,2,4,4,3,4,4,4,4,2,5,4,5,4,2,3,1,4,4
21,"2","1","2",4,3,4,4,4,3,2,3,3,5,4,4,5,5,4,3,5,3,5,4,3,3,4,4,2,3,3
22,"1","2","2",3,1,5,1,1,2,3,1,1,1,1,3,2,3,2,2,5,2,4,5,3,4,3,5,4,3,3
47,"2","2","2",4,3,3,3,1,3,3,3,3,1,2,4,2,4,4,4,4,2,4,2,3,5,4,4,4,4,5
25,"1","3","2",3,2,4,1,1,3,1,2,2,1,2,2,2,3,3,4,4,1,2,2,2,4,2,4,4,4,4
20,"2","1","2",5,2,4,4,4,4,3,4,2,4,4,3,4,4,5,4,5,3,4,5,4,4,4,5,3,2,2
74,"2","6","2",3,4,4,4,3,4,2,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,2,3
22,"1","1","1",2,2,4,2,1,4,4,2,1,4,2,4,4,4,3,3,5,1,4,5,4,2,1,3,2,4,2
20,"2","4","2",4,3,4,4,1,4,3,3,4,4,4,4,4,4,5,4,5,4,5,5,5,5,3,5,4,3,3
20,"1","1","2",4,4,4,4,2,5,2,3,1,3,4,2,4,4,4,4,5,3,4,4,3,4,4,3,2,3,3
82,"1","6","2",4,3,5,1,3,4,2,3,2,4,1,1,1,4,4,4,4,3,1,5,4,4,1,4,4,4,4
66,"2","4","2",3,4,4,2,1,2,1,2,1,1,4,3,3,3,4,4,3,1,2,3,1,4,3,4,4,3,2
20,"1","1","2",4,4,5,3,1,5,3,3,1,3,3,3,4,4,5,5,5,3,5,4,4,5,4,5,5,4,5
54,"2","4","2",4,3,5,4,2,4,4,4,4,2,4,2,4,3,3,4,4,1,4,4,3,5,3,5,4,3,1
51,"2","2","2",4,4,4,3,3,4,3,3,2,3,2,4,2,4,4,4,4,3,4,4,4,3,3,4,2,2,4
21,"2","1","1",5,4,4,4,2,5,2,4,2,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,2,2
72,"2","6","2",1,1,4,2,2,2,1,2,1,1,2,2,1,1,4,4,5,1,2,2,2,4,1,4,2,3,3
20,"2","1","2",5,5,2,5,1,5,4,4,2,5,5,4,4,4,4,4,5,5,5,5,5,5,3,4,4,2,3
20,"2","1","2",5,4,1,3,2,5,1,4,1,1,2,5,4,4,4,5,5,3,5,5,5,3,3,4,4,2,3
19,"2","4","2",5,2,4,4,2,4,2,2,2,4,4,5,5,4,4,4,5,4,5,5,4,4,4,5,3,2,5
19,"2","1","2",4,3,4,2,1,4,1,2,2,3,2,2,4,5,3,4,5,4,5,4,4,5,4,5,3,3,4
35,"2","2","2",2,3,4,3,2,2,3,3,2,2,2,4,2,4,4,4,3,3,2,4,2,4,4,4,3,3,3
65,"2","6","2",2,4,4,1,1,2,1,1,2,1,1,1,2,4,4,4,3,2,3,3,1,5,4,5,2,3,3
27,"2","2","2",2,2,4,2,1,3,2,2,2,3,3,3,4,3,4,3,4,2,2,4,2,5,4,5,5,3,3
40,"2","2","2",4,4,4,3,3,4,2,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,4
34,"2","3","2",4,5,5,4,1,2,3,2,1,2,4,1,4,5,1,5,4,1,3,4,3,5,4,5,3,3,4
47,"2","2","2",4,3,5,4,4,4,4,4,3,4,3,3,4,4,4,5,5,3,4,4,4,5,4,5,4,2,4
45,"2","4","2",3,4,3,3,2,2,2,3,2,2,2,2,2,2,4,4,4,2,2,2,3,4,4,4,2,1,2
54,"2","2","2",4,1,4,3,1,3,1,3,1,1,1,1,1,3,4,4,4,1,2,4,1,2,1,4,2,3,3
49,"2","2","2",5,4,4,4,3,4,2,4,5,4,4,4,4,5,5,5,5,2,4,4,3,5,4,5,4,3,4
51,"1","2","2",5,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4
25,"2","2","2",4,4,4,4,2,4,4,4,2,4,4,4,5,4,4,5,4,2,4,3,3,3,4,2,3,4,4
23,"2","1","2",5,5,5,3,1,5,1,2,2,4,4,5,5,1,3,5,5,2,5,5,3,5,4,5,3,3,4
20,"2","2","2",4,2,5,3,3,4,2,3,1,3,4,4,4,2,4,4,4,2,3,3,3,4,3,5,3,3,4
23,"2","4","2",5,4,4,4,4,5,4,5,3,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,4,1,4
58,"2","3","2",4,4,3,3,3,4,2,3,4,3,4,4,3,5,4,4,4,4,3,4,3,5,4,4,5,2,3
24,"1","2","2",5,5,2,3,1,4,2,3,1,2,4,3,4,5,1,2,5,2,5,4,4,5,4,4,3,3,3
53,"2","2","2",3,5,5,4,2,4,2,4,2,3,2,2,4,4,4,4,4,2,2,4,2,4,2,4,2,3,3
21,"1","2","2",5,5,2,4,4,5,5,4,3,5,4,5,5,4,4,5,4,1,2,5,2,4,4,3,4,4,4
53,"2","2","2",4,4,4,2,3,4,2,3,2,2,2,2,2,4,4,4,3,2,3,4,2,4,3,4,4,3,3
22,"1","1","2",5,5,4,2,1,2,1,2,1,4,2,5,2,4,2,5,5,4,5,5,4,2,2,2,1,4,3
20,"2","1","2",5,5,5,4,3,5,5,4,4,5,3,5,5,3,5,5,4,4,4,4,4,4,4,4,5,2,3
27,"2","2","2",4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,5,4,4,5,5,4,5,4,5,5,3,3
46,"1","2","2",5,4,4,3,3,4,3,2,2,4,3,4,3,3,3,4,5,2,4,4,4,4,2,5,4,4,4
27,"2","2","2",5,5,4,3,3,5,2,4,5,4,4,4,5,4,4,4,5,2,5,5,4,5,3,5,5,3,4
29,"2","2","2",2,1,4,4,2,1,2,4,2,1,2,2,2,2,4,4,4,2,1,4,2,5,2,5,1,2,4
25,"1","2","2",4,1,3,2,1,4,2,3,2,1,4,2,2,2,3,3,4,1,5,5,5,4,1,5,2,5,3
19,"2","2","2",4,4,2,3,3,4,2,3,5,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,4,1,2
20,"1","1","2",4,4,4,4,2,4,4,4,2,2,3,4,4,3,4,4,5,3,4,5,4,3,2,4,3,3,3
19,"2","1","2",4,4,1,4,1,5,3,2,3,5,5,5,5,4,2,4,5,5,5,5,4,3,5,3,4,1,4
20,"1","1","2",4,4,4,4,2,4,2,2,2,4,3,2,2,3,4,4,4,4,4,4,4,4,2,5,3,3,4
20,"2","1","2",3,3,3,1,1,4,1,1,1,4,2,1,4,5,5,5,5,1,5,4,4,4,4,5,4,1,2
21,"2","1","2",4,4,4,2,1,4,2,2,4,4,5,5,4,4,4,4,4,4,5,5,5,4,2,3,2,1,3
32,"1","2","2",3,4,3,4,3,4,3,4,2,4,4,3,4,3,3,4,4,2,2,5,4,5,4,5,4,3,5
21,"1","2","2",4,4,5,3,1,4,2,4,1,1,1,1,4,5,3,4,4,3,1,1,2,5,1,5,4,5,5
21,"2","1","2",4,2,4,1,1,4,1,1,1,1,4,4,2,5,4,4,4,3,1,4,2,5,1,5,4,3,4
48,"2","4","2",4,4,2,3,1,4,3,3,3,4,3,3,3,4,4,5,4,2,4,4,4,3,2,4,4,1,3
20,"1","1","2",5,4,4,4,4,5,2,3,1,4,4,3,4,3,4,4,4,4,4,4,3,4,3,5,4,2,3
19,"2","1","2",5,2,4,3,4,4,4,4,4,2,4,2,4,2,3,4,5,4,5,4,4,2,2,2,4,2,4
18,"2","1","2",4,3,4,2,2,4,3,2,2,3,2,3,3,3,4,4,4,2,4,3,3,4,3,4,2,2,3
55,"2","2","2",4,5,5,4,4,5,3,3,4,2,5,4,5,4,4,5,5,2,5,5,5,5,2,5,5,2,4
50,"2","2","2",4,4,4,4,2,4,3,4,2,3,2,2,4,4,4,4,4,2,4,4,4,4,3,4,2,3,5
49,"1","2","2",4,4,3,1,1,4,3,2,3,2,2,3,3,4,4,4,4,3,4,4,4,4,2,5,4,3,4
20,"1","1","2",5,4,2,3,1,5,2,1,2,3,3,4,4,4,5,5,5,4,5,4,3,4,4,5,3,1,3
42,"2","2","2",4,4,2,4,2,4,3,4,1,4,2,4,4,4,4,4,4,4,3,4,4,3,3,4,3,1,3
53,"2","4","2",4,2,4,3,2,4,2,3,2,2,2,2,2,4,4,4,4,2,3,4,3,4,2,5,4,4,4
22,"2","1","2",3,3,2,1,1,4,2,1,5,5,5,5,5,4,5,5,3,5,4,3,4,4,3,5,4,1,3
18,"2","1","2",4,5,3,4,2,1,2,4,2,4,5,3,5,4,4,4,4,2,3,3,2,4,4,4,3,3,3
21,"1","1","2",5,3,3,2,1,4,3,1,3,2,3,2,4,3,4,4,4,4,4,4,5,5,4,4,3,2,4
21,"2","1","2",4,5,4,4,3,5,2,4,2,5,4,5,5,4,4,4,4,2,5,5,4,4,4,4,1,2,5
19,"2","2","2",5,2,4,4,4,5,3,4,3,4,2,4,5,3,3,4,5,2,4,4,2,4,2,3,2,3,2
21,"1","1","2",5,5,3,3,3,5,4,3,3,4,4,4,5,4,2,4,4,3,4,4,3,4,3,4,2,1,4
20,"2","1",NA,5,4,4,4,2,5,2,4,1,4,5,4,5,2,3,4,5,4,5,5,5,5,2,5,5,4,4
23,"1","2","2",4,4,5,3,2,4,2,3,2,2,4,1,4,3,4,4,5,2,4,4,4,5,5,5,2,3,4
25,"1","2","2",2,2,5,2,1,1,1,1,1,1,2,4,3,3,4,4,3,2,1,4,1,4,1,4,2,3,4
50,"1","2","2",4,4,4,4,3,5,3,2,2,2,2,2,3,5,4,5,3,3,3,4,3,5,4,4,4,3,3
41,"2","3","2",5,5,3,4,3,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,1,3
32,"2","4","2",4,4,2,3,2,4,2,3,4,3,2,2,3,4,3,4,5,2,5,4,4,4,3,4,3,2,3
19,"3","1","2",5,4,4,5,1,4,3,3,2,4,4,2,4,4,4,4,5,3,5,5,5,5,4,4,4,3,3
19,"1","1","2",5,3,4,3,1,5,3,1,1,4,4,4,4,4,3,4,5,2,4,4,5,4,4,5,4,4,2
53,"1","2","2",4,4,5,3,2,4,2,3,1,2,3,4,3,4,3,4,4,1,4,4,4,4,2,4,2,4,4
21,"2","1","2",4,4,4,4,2,4,3,4,1,4,4,4,5,4,4,4,4,3,4,4,2,3,2,4,3,3,2
21,"1","1","2",4,1,4,3,1,4,1,1,1,2,1,1,3,5,5,5,4,1,4,4,2,4,1,4,4,3,3
