"","mil1","mil2","mil3","mil4","mil5","mil6","mil7","mil8","mil9","mil10","mil11","mil12"
"117",3,3,3,4,3,3,3,3,3,5,5,5
"118",2,1,1,4,4,4,4,2,1,4,4,4
"119",5,3,4,1,4,1,5,1,1,5,1,4
"120",5,2,1,1,5,3,3,5,2,5,4,3
"121",5,5,5,1,1,5,5,5,3,3,3,5
"122",2,2,2,4,4,4,4,4,4,4,5,5
"123",4,4,4,5,5,5,5,5,5,4,5,5
"124",4,4,4,4,4,3,4,4,4,4,5,5
"125",3,5,4,4,3,3,3,4,4,4,5,5
"126",3,3,3,4,3,4,4,3,3,3,3,3
"127",3,3,3,4,3,3,3,3,3,5,5,5
"128",3,3,3,4,3,3,3,4,4,4,4,4
"129",3,3,3,4,3,3,3,3,3,5,5,5
"130",3,3,4,4,3,3,3,3,3,5,5,5
"131",4,3,3,4,3,3,3,4,3,5,5,5
"132",3,3,3,4,3,3,3,3,3,4,4,4
"133",3,3,3,4,3,3,3,3,3,4,4,4
"134",3,3,3,4,3,3,3,3,3,3,3,3
"135",4,2,2,4,3,3,4,3,2,4,2,4
"136",1,1,1,1,1,1,1,1,1,1,1,1
"137",3,3,3,4,3,3,3,4,4,4,4,5
"138",3,3,3,4,3,3,3,3,3,3,3,3
"139",3,3,3,4,3,3,3,3,3,4,3,5
"140",3,3,3,4,3,3,3,3,3,4,4,4
"141",3,3,3,4,3,3,3,3,3,4,4,5
"142",4,3,4,5,3,2,3,3,3,4,4,4
"143",1,1,1,1,1,1,1,1,1,1,1,5
"144",4,4,4,4,4,4,3,3,3,4,3,4
"145",3,3,4,4,4,2,4,3,4,5,5,5
"146",4,3,3,2,2,2,1,3,2,4,4,5
"147",4,5,4,5,5,5,5,5,5,4,4,5
"148",3,3,3,4,3,3,3,3,3,3,3,3
"149",4,4,5,4,3,5,3,4,3,4,3,4
"150",5,5,5,5,5,5,5,4,4,3,3,3
"151",1,1,1,2,3,2,5,5,5,1,1,1
"152",5,5,5,5,5,5,5,5,5,2,1,3
"153",4,4,5,4,4,3,5,5,3,1,1,3
"154",3,3,3,4,5,5,5,3,3,3,1,3
"155",3,3,3,5,4,4,4,5,3,3,1,3
"156",3,3,3,4,3,3,3,3,3,4,4,4
"157",3,4,3,4,3,3,3,3,2,3,3,2
"158",5,5,5,5,5,5,5,5,5,5,5,5
"159",2,2,2,2,2,3,2,3,2,3,3,3
"160",4,4,4,5,4,4,4,3,3,4,4,4
"161",5,5,5,5,5,1,3,4,3,3,3,4
"162",4,2,4,5,5,5,5,5,4,3,3,4
"163",3,4,4,2,2,2,4,4,4,3,2,4
"164",5,5,5,5,5,5,5,5,5,2,2,1
"165",2,4,4,2,4,4,3,3,3,4,4,5
"166",4,4,4,5,4,3,3,3,4,3,3,3
"167",3,3,3,5,3,4,3,3,3,5,5,5
"168",3,2,4,4,4,4,4,5,3,3,3,4
"169",4,1,1,5,4,5,3,3,3,3,3,4
"170",1,1,1,4,3,3,3,3,3,1,1,5
"171",5,5,5,5,5,4,3,5,4,3,1,3
"172",3,4,4,4,3,3,3,3,3,1,2,3
"173",3,3,3,4,3,3,3,3,3,3,3,3
"174",4,4,4,4,3,3,3,2,2,3,2,2
"175",3,3,3,5,4,3,3,3,3,2,2,2
"176",3,5,3,4,3,4,3,3,3,2,3,2
"177",2,2,2,1,2,2,5,4,5,2,1,2
"178",2,2,3,4,4,4,3,3,3,4,4,3
"179",3,5,4,4,3,3,4,3,3,5,5,4
"180",3,4,2,5,2,2,4,3,3,2,3,4
"181",4,4,4,5,4,5,5,4,5,4,3,4
"182",1,1,2,5,3,3,4,5,3,1,3,5
"183",4,5,3,5,4,3,3,3,3,3,3,4
"184",5,5,5,5,4,4,4,4,3,5,3,3
"185",3,3,3,2,3,2,3,4,3,1,2,2
"186",2,2,2,2,2,2,2,2,2,2,1,1
"187",4,5,4,5,4,3,4,4,5,4,5,4
"188",5,5,5,2,4,3,5,5,4,2,1,1
"189",5,5,5,5,5,5,5,5,5,5,5,5
"190",3,5,4,4,3,3,5,5,4,3,3,5
"191",1,2,3,5,4,5,5,5,5,5,5,5
"192",5,5,4,5,4,5,5,5,5,4,1,4
"193",5,5,5,5,5,5,5,5,5,3,3,3
"194",3,3,3,2,3,2,2,2,3,3,2,3
"195",1,2,1,2,2,1,1,2,1,1,2,1
"196",3,3,3,4,3,3,3,3,3,5,5,5
"197",5,5,5,5,5,5,5,5,5,5,5,5
"198",3,3,3,5,4,4,5,5,3,3,3,3
"199",3,3,3,4,3,2,3,3,1,2,2,1
"200",1,5,5,1,5,1,5,5,5,1,1,5
"201",1,5,1,1,5,5,5,5,5,1,2,5
"202",4,5,5,5,4,4,3,4,2,4,3,4
"203",5,4,4,5,4,4,4,4,4,4,4,4
"204",5,5,5,5,5,5,5,5,5,5,5,5
"205",4,3,4,4,2,2,1,4,1,4,4,4
"206",4,4,3,5,3,2,2,2,3,3,5,5
"207",5,5,5,5,5,5,5,5,5,3,5,5
"208",3,3,3,4,3,3,3,3,3,3,3,3
"209",4,4,3,5,4,4,1,1,4,3,4,5
"210",5,5,5,5,3,2,2,5,5,1,1,1
"211",2,1,1,2,1,1,3,3,1,1,1,5
"212",5,5,5,5,5,5,5,5,5,5,5,5
"213",5,5,5,4,3,3,3,3,3,5,3,5
"214",2,3,2,5,4,4,4,4,4,1,2,3
"215",3,3,3,4,4,4,3,2,2,4,3,4
"216",1,1,1,1,1,1,5,4,1,4,4,4
"217",4,3,4,4,4,4,4,3,4,3,4,4
"218",4,4,5,5,4,4,3,4,4,4,4,4
"219",5,5,5,4,3,3,3,4,3,3,3,3
"220",5,5,5,4,3,3,3,5,3,3,3,5
"221",3,3,3,4,3,3,3,3,3,3,2,2
"222",5,5,5,5,5,5,5,5,5,5,5,5
"223",5,5,5,5,5,5,5,5,5,5,5,5
"224",5,5,5,2,5,5,5,5,5,4,5,5
"225",2,3,4,5,3,2,4,3,2,3,2,3
"226",3,1,1,1,2,2,3,3,4,2,3,4
"227",5,5,5,5,3,4,3,3,3,5,5,5
"228",3,3,3,2,2,2,2,2,2,3,2,4
"229",3,5,5,5,4,5,4,4,5,4,4,5
"230",4,3,5,4,2,2,4,4,2,3,3,4
"231",5,5,5,5,5,5,5,5,5,5,5,5
"232",3,3,3,5,5,5,4,3,3,3,1,4
"233",3,4,4,5,5,5,5,5,5,5,5,5
"234",1,1,1,4,3,3,4,4,2,1,1,3
"235",5,5,5,5,5,5,5,5,5,1,1,5
"236",5,5,5,4,5,4,5,4,4,4,4,5
"237",3,1,1,4,5,4,4,4,4,5,5,5
"238",5,2,4,4,4,4,3,5,5,5,4,4
"239",5,5,5,5,5,5,5,5,5,5,5,5
"240",5,5,5,1,1,1,5,5,5,4,5,5
"241",5,5,5,5,5,5,5,5,5,5,5,3
"242",5,3,5,2,1,3,5,5,1,3,4,2
"243",2,2,2,5,4,4,2,2,1,4,1,1
"244",3,3,3,4,5,3,5,5,2,4,3,5
"245",2,2,3,2,3,4,4,2,1,3,2,1
"246",4,4,4,5,4,4,4,4,4,2,2,2
"247",3,4,4,5,4,4,5,4,1,4,5,3
"248",3,1,2,4,3,4,1,1,1,3,1,4
"249",1,1,1,4,3,3,3,3,3,3,2,4
"250",4,4,3,4,3,4,4,4,4,5,4,4
"251",5,5,5,5,5,5,5,5,5,5,5,5
"252",3,3,3,4,3,3,3,3,3,4,3,5
"253",5,5,5,5,5,5,3,3,3,3,3,3
"254",5,5,5,5,5,5,5,5,5,2,2,1
"255",1,1,2,1,5,5,3,3,4,4,3,3
"256",5,5,4,5,5,3,5,2,2,2,1,1
"257",5,5,5,4,4,4,3,4,3,3,3,1
"258",3,3,4,4,1,1,3,3,2,5,1,5
"259",3,2,4,4,4,4,4,5,3,3,3,4
