"","age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
"46",22,"2","1","2",4,4,4,3,3,4,3,3,1,2,3,1,3,3,4,4,5,3,5,4,5,4,4,4,3,3,3
"47",22,"2","1","2",5,4,4,4,2,5,3,4,2,4,2,3,2,4,4,5,5,4,5,4,5,4,3,5,4,3,3
"48",20,"2","4","2",4,5,2,4,2,4,4,3,5,2,4,2,4,3,4,5,4,4,4,2,4,4,4,3,4,2,2
"49",42,"2","2","2",4,4,4,4,3,4,1,3,4,4,3,5,3,4,3,4,5,4,4,5,5,4,5,4,3,1,1
"50",22,"2","1","2",2,2,4,2,1,2,2,2,3,4,3,2,4,3,4,3,4,3,4,4,4,3,2,4,4,2,2
"51",20,"2","1","2",4,3,4,4,2,5,1,3,3,2,3,4,5,4,4,5,5,3,4,4,4,5,3,4,4,3,3
"52",20,"2","1","2",4,4,4,2,1,4,1,1,3,3,3,3,4,4,4,5,4,2,4,4,4,4,4,5,4,4,4
"53",20,"1","4","2",4,3,4,1,1,4,1,1,1,2,2,4,4,2,4,3,4,2,5,5,4,5,5,5,5,2,2
"54",26,"2","4","2",5,5,5,5,2,5,2,5,2,5,5,5,5,5,2,5,5,4,5,5,5,5,5,4,4,2,2
"55",19,"1","1","2",5,4,4,3,1,5,4,4,1,5,2,1,2,4,5,4,5,2,5,4,5,4,4,5,3,3,3
"56",22,"2","1","2",5,3,4,4,4,4,2,4,4,3,3,4,5,3,3,4,5,3,5,4,4,4,5,4,5,3,3
"57",21,"1","1","2",4,2,4,2,1,4,3,2,3,5,4,5,4,4,4,4,4,3,4,3,3,4,4,4,4,2,2
"58",53,"2","4","2",4,4,4,2,1,4,3,1,2,3,2,4,4,3,4,4,5,3,4,4,4,4,3,4,4,2,2
"59",20,"1","1","2",3,2,4,4,1,4,3,3,1,2,1,3,2,3,4,4,5,1,4,4,2,4,2,5,2,3,3
"60",21,"2","1","2",4,4,3,3,2,4,2,2,2,4,4,3,4,3,4,4,4,3,5,5,4,4,3,4,4,1,1
"61",52,"1","2","2",4,4,2,3,3,4,3,3,2,4,2,2,4,4,4,4,3,3,4,4,3,4,4,4,3,2,2
"62",21,"1","1","2",4,4,4,1,1,4,3,2,3,2,4,4,3,4,4,4,4,2,5,4,5,4,2,3,1,4,4
"63",21,"2","1","2",4,3,4,4,4,3,2,3,3,5,4,4,5,5,4,3,5,3,5,4,3,3,4,4,2,3,3
"64",22,"1","2","2",3,1,5,1,1,2,3,1,1,1,1,3,2,3,2,2,5,2,4,5,3,4,3,5,4,3,3
"65",47,"2","2","2",4,3,3,3,1,3,3,3,3,1,2,4,2,4,4,4,4,2,4,2,3,5,4,4,4,4,4
"66",25,"1","3","2",3,2,4,1,1,3,1,2,2,1,2,2,2,3,3,4,4,1,2,2,2,4,2,4,4,4,4
"67",20,"2","1","2",5,2,4,4,4,4,3,4,2,4,4,3,4,4,5,4,5,3,4,5,4,4,4,5,3,2,2
"68",74,"2","6","2",3,4,4,4,3,4,2,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2
"69",22,"1","1","1",2,2,4,2,1,4,4,2,1,4,2,4,4,4,3,3,5,1,4,5,4,2,1,3,2,4,4
"70",20,"2","4","2",4,3,4,4,1,4,3,3,4,4,4,4,4,4,5,4,5,4,5,5,5,5,3,5,4,3,3
"71",20,"1","1","2",4,4,4,4,2,5,2,3,1,3,4,2,4,4,4,4,5,3,4,4,3,4,4,3,2,3,3
"72",82,"1","6","2",4,3,5,1,3,4,2,3,2,4,1,1,1,4,4,4,4,3,1,5,4,4,1,4,4,4,4
"73",66,"2","4","2",3,4,4,2,1,2,1,2,1,1,4,3,3,3,4,4,3,1,2,3,1,4,3,4,4,3,3
"74",20,"1","1","2",4,4,5,3,1,5,3,3,1,3,3,3,4,4,5,5,5,3,5,4,4,5,4,5,5,4,4
"75",54,"2","4","2",4,3,5,4,2,4,4,4,4,2,4,2,4,3,3,4,4,1,4,4,3,5,3,5,4,3,3
"76",51,"2","2","2",4,4,4,3,3,4,3,3,2,3,2,4,2,4,4,4,4,3,4,4,4,3,3,4,2,2,2
"77",21,"2","1","1",5,4,4,4,2,5,2,4,2,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,2,2
"78",72,"2","6","2",1,1,4,2,2,2,1,2,1,1,2,2,1,1,4,4,5,1,2,2,2,4,1,4,2,3,3
"79",20,"2","1","2",5,5,2,5,1,5,4,4,2,5,5,4,4,4,4,4,5,5,5,5,5,5,3,4,4,2,2
"80",20,"2","1","2",5,4,1,3,2,5,1,4,1,1,2,5,4,4,4,5,5,3,5,5,5,3,3,4,4,2,2
"81",19,"2","4","2",5,2,4,4,2,4,2,2,2,4,4,5,5,4,4,4,5,4,5,5,4,4,4,5,3,2,2
"82",19,"2","1","2",4,3,4,2,1,4,1,2,2,3,2,2,4,5,3,4,5,4,5,4,4,5,4,5,3,3,3
"83",35,"2","2","2",2,3,4,3,2,2,3,3,2,2,2,4,2,4,4,4,3,3,2,4,2,4,4,4,3,3,3
"84",65,"2","6","2",2,4,4,1,1,2,1,1,2,1,1,1,2,4,4,4,3,2,3,3,1,5,4,5,2,3,3
"85",27,"2","2","2",2,2,4,2,1,3,2,2,2,3,3,3,4,3,4,3,4,2,2,4,2,5,4,5,5,3,3
"86",40,"2","2","2",4,4,4,3,3,4,2,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1
"87",34,"2","3","2",4,5,5,4,1,2,3,2,1,2,4,1,4,5,1,5,4,1,3,4,3,5,4,5,3,3,3
"88",47,"2","2","2",4,3,5,4,4,4,4,4,3,4,3,3,4,4,4,5,5,3,4,4,4,5,4,5,4,2,2
"89",45,"2","4","2",3,4,3,3,2,2,2,3,2,2,2,2,2,2,4,4,4,2,2,2,3,4,4,4,2,1,1
"90",54,"2","2","2",4,1,4,3,1,3,1,3,1,1,1,1,1,3,4,4,4,1,2,4,1,2,1,4,2,3,3
"91",49,"2","2","2",5,4,4,4,3,4,2,4,5,4,4,4,4,5,5,5,5,2,4,4,3,5,4,5,4,3,3
"92",51,"1","2","2",5,3,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3
"93",25,"2","2","2",4,4,4,4,2,4,4,4,2,4,4,4,5,4,4,5,4,2,4,3,3,3,4,2,3,4,4
"94",23,"2","1","2",5,5,5,3,1,5,1,2,2,4,4,5,5,1,3,5,5,2,5,5,3,5,4,5,3,3,3
"95",20,"2","2","2",4,2,5,3,3,4,2,3,1,3,4,4,4,2,4,4,4,2,3,3,3,4,3,5,3,3,3
"96",23,"2","4","2",5,4,4,4,4,5,4,5,3,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,4,1,1
"97",58,"2","3","2",4,4,3,3,3,4,2,3,4,3,4,4,3,5,4,4,4,4,3,4,3,5,4,4,5,2,2
"98",24,"1","2","2",5,5,2,3,1,4,2,3,1,2,4,3,4,5,1,2,5,2,5,4,4,5,4,4,3,3,3
"99",53,"2","2","2",3,5,5,4,2,4,2,4,2,3,2,2,4,4,4,4,4,2,2,4,2,4,2,4,2,3,3
"100",21,"1","2","2",5,5,2,4,4,5,5,4,3,5,4,5,5,4,4,5,4,1,2,5,2,4,4,3,4,4,4
"101",53,"2","2","2",4,4,4,2,3,4,2,3,2,2,2,2,2,4,4,4,3,2,3,4,2,4,3,4,4,3,3
